timestamp,gesture,gesture_id,gesture_confidence,gesture_phase,gesture_vel_x,gesture_vel_y,gesture_vel_z,ee_x,ee_y,ee_z,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,gripper,prev_action,prev_action_id,action,action_id
1764635495.3329935,none,0,0.0,0,0.0,0.0,0.0,0.01314688549265181,-2.0987408529051158e-05,0.804669629251352,0.006666089873760939,1.5835572481155396,-2.878973960876465,-0.2556438446044922,-0.002207819139584899,-0.030626393854618073,-0.010317649692296982,stop,8,stop,8
1764635495.4329927,none,0,0.0,0,0.0,0.0,0.0,0.01314672294854125,-2.1807650703530558e-05,0.8046696317118616,0.006661421153694391,1.5835572481155396,-2.878974437713623,-0.2556438446044922,-0.0022232208866626024,-0.03065061755478382,-0.010316171683371067,stop,8,stop,8
1764635495.5331516,none,0,0.0,0,0.0,0.0,0.0,0.013146644323370565,-2.265880066798043e-05,0.8046696320238989,0.0066566444002091885,1.5835572481155396,-2.878974676132202,-0.2556438446044922,-0.00223923334851861,-0.030675675719976425,-0.010314649902284145,stop,8,stop,8
1764635495.6332574,none,0,0.0,0,0.0,0.0,0.0,0.013146481953545227,-2.3508095877719547e-05,0.8046696343955885,0.0066519551910459995,1.5835572481155396,-2.8789751529693604,-0.2556438446044922,-0.0022552201990038157,-0.030700556933879852,-0.01031311135739088,stop,8,stop,8
1764635495.733331,none,0,0.0,0,0.0,0.0,0.0,0.013146403089909798,-2.4319143534200132e-05,0.804669634762025,0.006647559814155102,1.5835572481155396,-2.8789753913879395,-0.2556438446044922,-0.0022705195005983114,-0.030724430456757545,-0.010311643593013287,stop,8,stop,8
1764635495.8334646,none,0,0.0,0,0.0,0.0,0.0,0.013146240692557465,-2.5163703691456535e-05,0.8046696371146741,0.006643041502684355,1.5835572481155396,-2.8789758682250977,-0.2556438446044922,-0.002286455826833844,-0.030749158933758736,-0.010310117155313492,stop,8,stop,8
1764635495.933771,none,0,0.0,0,0.0,0.0,0.0,0.013146162012723613,-2.6004818879324013e-05,0.804669637388334,0.006638646125793457,1.5835572481155396,-2.8789761066436768,-0.2556438446044922,-0.0023023663088679314,-0.03077375888824463,-0.010308588854968548,stop,8,stop,8
1764635496.0339956,none,0,0.0,0,0.0,0.0,0.0,0.013145999399706596,-2.6811929305944288e-05,0.8046696397902852,0.006634534802287817,1.5835572481155396,-2.878976583480835,-0.2556438446044922,-0.002317650243639946,-0.030797241255640984,-0.010307119227945805,stop,8,stop,8
1764635496.1341727,none,0,0.0,0,0.0,0.0,0.0,0.01314592068155088,-2.7645353335104702e-05,0.8046696400502413,0.006630373187363148,1.5835572481155396,-2.878976821899414,-0.2556438446044922,-0.0023334668949246407,-0.030821435153484344,-0.010305601172149181,stop,8,stop,8
1764635496.2343962,none,0,0.0,0,0.0,0.0,0.0,0.013145758209017682,-2.847460046829744e-05,0.8046696423744812,0.006626333575695753,1.5835572481155396,-2.8789772987365723,-0.2556438446044922,-0.002349219983443618,-0.030845610424876213,-0.010304082185029984,stop,8,stop,8
1764635496.3344486,none,0,0.0,0,0.0,0.0,0.0,0.01314567947285718,-2.9303398259484785e-05,0.804669642613716,0.006622398272156715,1.5835572481155396,-2.8789775371551514,-0.2556438446044922,-0.0023650031071156263,-0.030869578942656517,-0.010302561335265636,stop,8,stop,8
1764635496.434721,none,0,0.0,0,0.0,0.0,0.0,0.013145516786739978,-3.0095292065313546e-05,0.8046696449901442,0.006618747022002935,1.5835572481155396,-2.8789780139923096,-0.2556438446044922,-0.002380100777372718,-0.030892400071024895,-0.010301102884113789,stop,8,stop,8
1764635496.5350156,none,0,0.0,0,0.0,0.0,0.0,0.013145438004921389,-3.091457947279102e-05,0.8046696452201886,0.006615063641220331,1.5835572481155396,-2.8789782524108887,-0.2556438446044922,-0.0023957579396665096,-0.030916007235646248,-0.010299595072865486,stop,8,stop,8
1764635496.6352003,none,0,0.0,0,0.0,0.0,0.0,0.013145275499728234,-3.173301751834912e-05,0.8046696475047022,0.006611568853259087,1.5835572481155396,-2.878978729248047,-0.2556438446044922,-0.002411436988040805,-0.030939428135752678,-0.010298075154423714,stop,8,stop,8
1764635496.735457,none,0,0.0,0,0.0,0.0,0.0,0.013145112960942217,-3.254344894353021e-05,0.8046696497898299,0.006608282215893269,1.5835572481155396,-2.878979206085205,-0.2556438446044922,-0.0024270089343190193,-0.030962489545345306,-0.010296572931110859,stop,8,stop,8
